id	name	tradition	old_domain	new_domain	new_edges_ids	new_edges_names	new_identifications	skipped
7503	Siddhartha Gautama	Buddhist	historical Buddha; Shakyamuni; founder of Buddhism, who attained complete awakening and taught the path to the cessation of suffering	wisdom, teaching, meditation, enlightenment, suffering, compassion			Shakyamuni	
7456	Silvanus	Roman	forests, fields, woodland boundaries; rural protective deity; never officially in the state-cult but extremely popular in epigraphic record	forests, fields, rural-protection				
7454	Sol	Roman	sun; identified with Helios; reintroduced as Sol Invictus by Aurelian in 274 CE as a state-cult; partly displaced by Sol's solar-monotheistic late-Empire role	sun, light, time, harvest				
6736	Sophia	Gnostic	in the Gnostic systems, 'Wisdom'; youngest of the aeons of the Pleroma, whose unilateral act of creation produces, without her consort, ignorant demiurge Yaldabaoth - setting in motion the flawed material cosmos and the drama of redemption	wisdom, creation, redemption				
7363	Surt	Norse	fire-giant of Muspelheim, eschatological burner of the world, wielder of the flaming sword at Ragnarok	fire, destruction, chaos, war			Surtr	
7411	Takemikazuchi	Shinto	thunder, swords, martial valor, subjugation of the land; one of the central warrior-kami; kami of Kashima Jingu; emerged from the blood of Kagutsuchi on Izanagi's sword	thunder, war, swords, martial-valor, land-subjugation				
6740	Tara	Buddhist	bodhisattva-goddess of compassion and swift help; 'the Saviouress'; especially central in Vajrayana/Tibetan Buddhism	compassion, help, wisdom				Tara
7427	Tartarus	Greek	deepest abyss of the cosmos, beneath Hades; prison of the Titans after the Titanomachy; both a place and a primordial being	underworld, prison, abyss				
7477	Tecuciztecatl	Aztec	'He of the Conch Shell' - the proud, wealthy god who hesitated at Teotihuacan and became the moon Metztli rather than the sun; cautionary counterpart of Nanahuatzin	moon, wealth, caution				
7225	The Monad	Gnostic	in the Gnostic systems, supreme, utterly transcendent, unknowable Godhead; the One beyond being and name, from which the spiritual fullness ultimately proceeds	creation, spirituality, transcendence, wisdom, unity			the One|Pleroma	
7469	Tlaloc	Aztec	rain, thunder, lightning, fertility of the earth; second in cult-importance only to Huitzilopochtli; ruler of the fourth heaven Tlalocan; one of the two co-equal deities of the Templo Mayor at Tenochtitlan	rain, thunder, lightning, fertility, earth				
7468	Tonacacihuatl	Aztec	'Lady of Sustenance' - the feminine aspect of the supreme creator-duality, paired with Tonacatecuhtli in Omeyocan	sustenance, fertility, harvest, motherhood	7132	Tonacatecuhtli		
7481	Tonantzin	Aztec	'Our Revered Mother' - collective title-aspect of the mother-goddess complex; famously the pre-Conquest goddess of Tepeyac, on whose shrine the Basilica of Guadalupe was built	motherhood, fertility, harvest, magic			Guadalupe	
7474	Tonatiuh	Aztec	'He Goes Forth Shining' - the sun, specifically the fifth sun of the present age; principal solar-deity; warrior-paradise; sun who demands blood-sacrifice to continue his daily journey	sun, war, sacrifice	6768	Huitzilopochtli		
6752	Tuisto	Germanic	earth-born primordial god of the continental Germanic peoples, named by Tacitus as the origin of the Germanic nation	earth, creation				
7436	Tyche	Greek	fortune, luck, chance - both good and bad; personification of how things 'fall out'; daughter of Oceanus	fortune, luck, chance	6252	Fortuna		
7438	Typhon	Greek	monstrous storm-serpent; last child of Gaia and Tartarus; gravest threat ever faced by Zeus; father of many other monsters by Echidna	monsters, chaos, storm, destruction				
7319	Utnapishtim	Mesopotamian	flood-survival, immortality granted, far-distant land of Dilmun-equivalent, witness of the antediluvian world	flood-survival, immortality, wisdom			Ziusudra	
7304	Utu	Mesopotamian	sun, justice, oath, illumination of hidden truths, rising-up over Mount Mashu, judge of the netherworld in his nightly transit, defender of travellers	sun, justice, oath, underworld, illumination			Shamash	
7506	Vairocana	Buddhist	cosmic Buddha; 'Illuminator'; in many Mahayana and all Vajrayana systems the central or primordial Buddha, embodiment of the Dharmakaya	wisdom, enlightenment, cosmic, spirituality	7224	Amitabha	Vairocana Buddha	
7510	Vaisravana	Buddhist	chief of the Four Heavenly Kings; guardian of the north; god of wealth; protector of the Dharma and of those who hear it	wealth, guardianship, dharma, protection			Kubera	
7222	Vajrapani	Buddhist	bodhisattva of the Buddha's power and protective energy; wielder of the vajra; one of the earliest and most important protective bodhisattvas	protection, power, energy				
7457	Vertumnus	Roman	seasonal changes, harvest, garden-fruit-ripening; metamorphosis; Etruscan god imported to Rome; husband of Pomona	seasonal-changes, harvest, fruit-ripening, metamorphosis				Vertumnus
7522	Vucub Caquix	Maya	'Seven Macaw' of the Popol Vuh; a vain bird-monster who in the time before the true sun set himself up as a false sun and moon; brought down by the Hero Twins	vanity, light, deception, cosmic order				
7524	Vucub-Came	Maya	'Seven Death'; with Hun-Came, one of the two highest lords of Xibalba, the K'iche' Maya underworld; defeated by the Hero Twins	underworld, death, magic	7523	Hun-Came		
7447	Vulcan	Roman	fire, forge, metalworking; identified with Hephaestus; god of the Comitium and the original Roman state-fire	fire, forge, metalworking, smithing				
7520	Xbalanque	Maya	one of the K'iche' Maya Hero Twins of the Popol Vuh; with his twin Hunahpu, conqueror of the lords of Xibalba; finally raised to become the moon	underworld, magic, death-and-rebirth, war, fertility	7519	Hunahpu		
7484	Xiwangmu	Chinese	the Queen Mother of the West; goddess of immortality, life, and the western paradise of Mount Kunlun; keeper of the peaches of immortality; one of the most ancient and important Chinese deities	immortality, life, paradise, fertility, magic			Kuan Yin	Xiwangmu
7338	YHWH	Abrahamic	covenant deity of Israel, creator of heaven and earth, holy, jealous, just, merciful, the Tetragrammaton	covenant, creation, justice, mercy, holiness	7195	El	Yahweh	
7256	Yaldabaoth	Gnostic	demiurge of the Gnostic systems; ignorant, arrogant lower power - malformed offspring of Sophia - who fashions the flawed material cosmos and falsely proclaims himself the only god; also called Saklas and Samael	creation, ignorance, material cosmos, deception	7346	Samael	Saklas	
7223	Yama	Buddhist	lord of death and judge of the dead in Buddhist cosmology; ruler of the hell-realms; the Buddhist development of the Vedic/Hindu Yama	death, judgment, underworld				Yama
7486	Yandi	Chinese	the Yan Emperor; one of the early sage-rulers; often identified with Shennong; defeated by the Yellow Emperor at Banquan; co-ancestor of the Chinese people	kingship, agriculture, healing, wisdom				
7489	Yao	Chinese	one of the great sage-kings; model of the virtuous ruler; famous for abdicating the throne to the worthy Shun rather than his own son	kingship, virtue, wisdom				
7360	Ymir	Norse	primordial giant, first being from the chaos-gap, cosmos-body - from whose dismembered form the world is made	creation, chaos, giants, earth, cosmos				
7488	Yu the Great	Chinese	legendary controller of the Great Flood; founder of the Xia dynasty; last of the sage-kings; model of the selfless tireless ruler	flood, kingship, agriculture				
7526	Yum Kaax	Maya	the Yucatec Maya god of the wild vegetation, forest, and especially of maize as a crop and of agriculture; youthful Maize God	vegetation, forest, maize, agriculture, youth				
7492	Zao Jun	Chinese	the Kitchen God / Stove God; household deity who watches over the family from his place above the hearth and reports their conduct to the Jade Emperor at the New Year; most domestically-intimate of Chinese deities	household, fire, domesticity				Zao Jun
7495	Zhongli Quan	Chinese	one of the Eight Immortals, often regarded as the eldest and most senior; immortal who initiated Lu Dongbin; master of the elixir of life and the fan that revives the dead	immortality, alchemy, healing, magic				Zhongli Quan
